province,city,county,honey_plant,plant_type,source_category,distribution_scale,start_month,end_month,notes,terrain
广东,茂名,高州市,荔枝,乔木,主要蜜源,大规模,2,4,全国最大荔枝产区；主要分布乡镇：根子镇（中国荔枝第一镇，6.25万亩）、分界镇、泗水镇为核心产区；大井镇（桂味）、平山镇（白糖罂）、沙田镇（鸡嘴荔）为特色单品产区,
广东,茂名,电白区,荔枝,乔木,主要蜜源,大规模,2,4,主要分布乡镇：霞洞镇、林头镇等为主要产区，与高州根子镇接壤,
广东,茂名,信宜市,荔枝,乔木,主要蜜源,中等规模,2,4,统计验证：荔枝面积13.62万亩(2022),
广西,钦州,灵山县,荔枝,乔木,主要蜜源,大规模,3,3,统计验证：荔枝面积41.4万亩(农民日报/2022)，全国第二大荔枝产县；主要分布乡镇：新圩镇、檀圩镇、佛子镇、丰塘镇、陆屋镇为五大主产乡镇；全县41.93万亩,
广西,南宁,横州市,茉莉花,灌木,辅助蜜源,大规模,4,10,全国最大茉莉花基地兼蜜源,
云南,曲靖,罗平县,油菜,草本,主要蜜源,大规模,1,3,全国最大油菜花海之一,
云南,楚雄,武定县,野坝子,灌木,主要蜜源,大规模,9,11,云南野坝子核心产区；分布区域：猫街镇-狮山镇,山地
四川,绵阳,三台县,油菜,草本,主要蜜源,大规模,2,3,统计年鉴验证：油菜面积45.6千公顷(2022年),
江西,九江,永修县,油菜,草本,主要蜜源,中等规模,3,3,,丘陵平原
江西,上饶,婺源县,油菜,草本,主要蜜源,大规模,3,3,婺源油菜花著名景区兼蜜源,丘陵
江西,上饶,婺源县,紫云英,草本,主要蜜源,中等规模,3,4,,丘陵
江西,赣州,信丰县,柑橘,乔木,主要蜜源,大规模,5,5,统计验证：信丰脐橙面积28.3万亩(2023)，赣南脐橙发祥地,
湖南,常德,石门县,柑橘,乔木,主要蜜源,大规模,4,4,统计验证：石门柑橘面积45万亩(2023)，湖南省柑橘种植规模最大的县,
湖南,衡阳,衡阳县,油菜,草本,主要蜜源,大规模,2,3,统计年鉴验证：油菜面积46.7千公顷(2023年),
湖南,衡阳,衡南县,紫云英,草本,主要蜜源,中等规模,3,3,统计验证：衡南县秋播紫云英9万亩(2024),
湖北,宜昌,夷陵区,柑橘,乔木,主要蜜源,大规模,5,5,宜昌蜜橘花蜜源；主要分布乡镇：小溪塔、鸦鹊岭、龙泉为蜜桔核心产区；太平溪、三斗坪为晚熟柑桔带,
湖北,宜昌,秭归县,柑橘,乔木,主要蜜源,大规模,5,5,统计验证：秭归脐橙面积40万亩(2023)，涌现12个亿元村；主要分布乡镇：郭家坝镇、归州镇、水田坝乡、沙镇溪镇为核心产区；泄滩乡以夏橙为主,
湖北,荆门,沙洋县,油菜,草本,主要蜜源,大规模,3,3,统计验证：沙洋县油菜面积70万亩(2023)，中国菜籽油之乡，湖北油菜第一县；园区油菜种植面积占比87.1%,
河北,保定,易县,荆条,灌木,主要蜜源,大规模,6,7,太行山区荆条核心产区；主要分布乡镇：清西陵周边山区、狼牙山区域,
河北,保定,阜平县,荆条,灌木,主要蜜源,中等规模,6,7,主要分布乡镇：太行深山区乡镇,
河北,石家庄,平山县,荆条,灌木,主要蜜源,大规模,6,7,太行山区荆条；主要分布乡镇：西柏坡周边山区乡镇,
河北,石家庄,赞皇县,荆条,灌木,主要蜜源,中等规模,6,7,主要分布乡镇：许亭镇（李家庄村）为核心区；嶂石岩镇、院头镇、西阳泽镇、土门乡、黄北坪乡等11乡镇150村均有分布,
河北,邢台,信都区,荆条,灌木,主要蜜源,中等规模,6,7,太行山区荆条；主要分布乡镇：西黄村镇、龙泉寺乡、皇寺镇、城计头乡为核心乡镇；路罗镇、将军墓镇、浆水镇等14个乡镇均有分布；太行山最绿地区，全国养蜂基地,
河北,承德,围场县,向日葵,草本,主要蜜源,中等规模,8,8,河北向日葵主产区；全省向日葵面积约58万亩,
山西,吕梁,临县,枣树,乔木,主要蜜源,大规模,5,5,黄河沿岸红枣产区；统计验证：临县红枣面积82万亩(2023)，全国最大红枣生产基地县；中国枣花蜜示范县；覆盖23乡镇454村,
陕西,榆林,定边县,荞麦,草本,主要蜜源,大规模,8,8,统计验证：定边县荞麦面积89万亩(2023)，全国四大荞麦产区之一，世界红花荞麦原产地,
甘肃,庆阳,宁县,刺槐,乔木,主要蜜源,大规模,5,5,统计验证：宁县刺槐林面积80万亩(宁县融媒/2025),
